#{"t_start": 1737965427.0361888, "env_id": "None"}
r,l,t
7.0,11,17.410252
5.0,12,17.416129
9.0,10,17.421029
8.0,10,17.425995
8.0,11,17.431498
5.0,12,17.437642
6.0,11,17.443094
4.0,12,17.448969
5.0,10,17.453958
5.0,12,17.937409
3.0,13,17.944523
5.0,11,17.950223
9.0,10,17.955271
7.0,10,17.960369
7.0,11,17.965848
6.0,10,17.970809
7.0,10,17.97579
3.0,14,17.982743
5.0,12,17.98859
4.0,12,17.994627
4.0,13,18.000966
5.0,11,18.006398
8.0,10,18.011348
7.0,10,18.016288
6.0,11,18.021726
5.0,11,18.027114
6.0,11,18.032578
6.0,10,18.037635
6.0,13,18.04434
6.0,10,18.049352
4.0,11,18.054744
3.0,14,18.061537
9.0,10,18.066393
3.0,14,18.073231
6.0,11,18.078646
4.0,13,18.085012
5.0,11,18.090487
3.0,12,18.096316
7.0,10,18.101233
1.0,16,18.108967
4.0,12,18.11499
1.0,16,18.122858
7.0,11,18.128413
4.0,12,18.134347
5.0,11,18.139742
5.0,13,18.146122
6.0,11,18.151814
5.0,10,18.156844
5.0,12,18.162809
6.0,11,18.16818
3.0,13,18.174602
8.0,10,18.179811
7.0,11,18.18533
8.0,10,18.190323
5.0,12,18.677006
9.0,10,18.682383
2.0,13,18.689001
7.0,10,18.694109
5.0,11,18.699591
7.0,10,18.70462
7.0,11,18.710013
1.0,14,18.716888
2.0,14,18.723708
7.0,10,18.72875
5.0,12,18.734712
5.0,12,18.740623
5.0,11,18.746149
5.0,13,18.752455
8.0,10,18.7574
8.0,11,18.762762
7.0,10,18.767736
6.0,11,18.773186
7.0,11,18.778547
6.0,11,18.783922
4.0,11,18.789307
5.0,12,18.795234
6.0,11,18.800657
5.0,11,18.805992
4.0,14,18.81273
9.0,10,18.817713
5.0,11,18.823083
5.0,11,18.828494
7.0,11,18.833907
7.0,11,18.839316
7.0,11,18.844656
5.0,13,18.850979
9.0,10,18.856044
9.0,10,18.861249
4.0,12,18.867055
6.0,12,18.872908
5.0,13,18.87922
2.0,15,18.886444
4.0,12,18.892275
1.0,18,18.900933
6.0,11,18.906284
-1.0,17,18.914563
3.0,13,18.920957
5.0,13,19.406517
5.0,11,19.41224
7.0,11,19.417813
7.0,10,19.422904
6.0,11,19.428414
3.0,13,19.434896
5.0,11,19.440553
6.0,10,19.445508
7.0,10,19.450665
8.0,10,19.455733
7.0,10,19.460692
6.0,10,19.465747
4.0,11,19.471355
5.0,10,19.476364
3.0,13,19.482723
7.0,10,19.4879
6.0,11,19.493338
4.0,12,19.499299
8.0,10,19.504265
7.0,10,19.509253
7.0,10,19.514203
8.0,10,19.519119
7.0,11,19.524479
6.0,10,19.529427
4.0,14,19.536315
4.0,12,19.542205
7.0,11,19.547636
5.0,12,19.55346
5.0,11,19.558864
5.0,11,19.564256
3.0,14,19.571069
4.0,11,19.576433
6.0,12,19.582336
5.0,12,19.588321
7.0,10,19.593246
7.0,11,19.598607
5.0,12,19.604463
3.0,14,19.611316
5.0,11,19.616669
6.0,11,19.622084
2.0,15,19.629333
2.0,14,19.636136
7.0,10,19.641075
8.0,11,19.646479
7.0,10,19.65151
7.0,10,19.656422
3.0,13,20.141204
5.0,12,20.147511
7.0,11,20.152981
7.0,11,20.158453
5.0,11,20.163945
9.0,11,20.169412
2.0,15,20.177243
3.0,15,20.184769
5.0,10,20.189877
5.0,13,20.196518
5.0,11,20.201993
8.0,11,20.207492
4.0,12,20.213375
7.0,10,20.218284
7.0,11,20.223707
5.0,13,20.230077
5.0,11,20.235551
3.0,12,20.241495
5.0,11,20.246899
3.0,13,20.253309
5.0,10,20.258332
4.0,14,20.26521
6.0,11,20.270631
5.0,12,20.276563
6.0,10,20.28149
6.0,11,20.286886
7.0,12,20.292759
6.0,12,20.298621
1.0,16,20.306337
4.0,14,20.313216
6.0,11,20.31861
1.0,14,20.325559
7.0,10,20.330484
5.0,13,20.336842
6.0,12,20.342722
0.0,16,20.350475
6.0,11,20.355896
3.0,13,20.362243
7.0,10,20.367191
7.0,12,20.373111
7.0,10,20.378052
5.0,13,20.384373
8.0,10,20.389232
8.0,10,20.876236
6.0,10,20.881486
3.0,14,20.888683
7.0,11,20.894381
7.0,10,20.89936
5.0,12,20.905421
7.0,10,20.910474
5.0,13,20.916983
7.0,10,20.922038
6.0,10,20.92699
8.0,10,20.931949
6.0,10,20.937187
2.0,13,20.943571
8.0,10,20.948614
4.0,12,20.954427
5.0,11,20.96
8.0,10,20.965039
6.0,12,20.970979
5.0,10,20.975918
4.0,13,20.982308
5.0,11,20.987784
6.0,10,20.992729
7.0,11,20.998202
6.0,11,21.003717
3.0,14,21.010508
1.0,17,21.018672
8.0,10,21.02365
4.0,12,21.029548
7.0,11,21.034977
5.0,11,21.040447
1.0,15,21.047796
3.0,14,21.05464
7.0,11,21.060019
7.0,11,21.065426
5.0,10,21.070373
6.0,11,21.075821
3.0,12,21.081689
2.0,14,21.088602
6.0,10,21.093538
5.0,13,21.099981
8.0,10,21.105
7.0,11,21.110437
7.0,10,21.115349
5.0,11,21.120996
4.0,13,21.608333
5.0,12,21.614628
6.0,10,21.619684
4.0,13,21.626162
6.0,12,21.632157
4.0,12,21.638101
5.0,13,21.644497
6.0,12,21.650429
7.0,10,21.65534
5.0,12,21.661228
5.0,12,21.667155
6.0,10,21.672147
5.0,12,21.678471
8.0,11,21.68407
4.0,11,21.689522
